Name,Acronym,Billing Street,Billing City,Billing Zip Code,Shipping Street,Shipping City,Shipping Zip Code,BEDS,ORISS Institution ID,NIPSIS,DOE Name
Abraham Joshua Heschel School ,,30 West End Ave,New York,10023,30 West End Ave,New York,,310200228689,800000048206,3669,THE ABRAHAM JOSHUA HESCHEL HIGH SCHOOL
Ach Tov V'Chesed ,,27 Skillman St,Brooklyn,11205,27 Skillman St,Brooklyn,,331400225751,800000063891,14011,ACH TOV V CHESED
Ach Tov V'Chesed ,,39 Chestnut St,Liberty,12754,39 Chestnut St,Liberty,,590901226560,800000092307,,ACH TOV VCHESED
Ach Tov Vchesed ,,33 Chestnut St,Liberty,12754,33 Chestnut St,Liberty,12754,590901226658,800000092856,,
Adolph Schreiber Hebrew Academy of Rockland ,ASHAR,360 New Hempstead Rd,New City,10956,360 New Hempstead Rd,New City,,500402226478,800000039032,,A H SCHREIBER HEBREW ACAD OF ROCKLAN
Ahavas Bais Yaakov ,,235 N Main Street Suite 5,Spring Valley,10977,261 Route 306,Monsey,,500402226663,800000093025,,AHAVAS BAIS YAAKOV
Ahi Ezer Yeshiva ,,2433 Ocean Pkwy,Brooklyn,11235,2433 Ocean Pkwy,Brooklyn,11235,332100227202,800000044046,21684,AHI EZER YESHIVA
Ashira ,,P.O. Box 344,Monsey,10977,200 Summit Park Rd,Spring Valley,10977,500402229896,800000055926,,BAIS YAAKOV D'RAV HIRSCH
Ateres Bais Yaakov Academy of Rockland ,,200 Summit Park Rd,Spring Valley,10977,200 Summit Park Rd,New Hempstead,,500402229697,800000055925,,ATERES BAIS YAAKOV ACAD OF ROCKLAND
Ateres Chaya School ,ACM,432 E 92nd St,Brooklyn,11212,432 E 92nd St,Brooklyn,,331800226302,800000089593,18032,ATERES CHAYA
Avir Yakov Addison Boyce ,,766 N Main St,Spring Valley,10977,32 Addison Boyce Dr,New City,10956,500402226347,800000074253,,
Avir Yakov Boys School ,,766 N Main St,Spring Valley,10977,91 Washington Ave,New Square,10977,500402226345,800000039045,,
